26:05:2025-18:39:39 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ), No Records Found for year 2025
26:05:2025-19:00:46 - INFO - LOG: Karnataka,CHIKAMANGLUR RTO - KA18( 12-JUN-2018 ),2025,APR Was successfully downloaded
26:05:2025-19:00:46 - INFO - LOG: Uttar Pradesh,BAREILLY - UP25( 13-FEB-2018 ),2025,JAN Was successfully downloaded
26:05:2025-19:01:00 - INFO - LOG: Karnataka,CHIKAMANGLUR RTO - KA18( 12-JUN-2018 ),2025,MAY Was successfully downloaded
26:05:2025-19:01:00 - INFO - LOG: Uttar Pradesh,BAREILLY - UP25( 13-FEB-2018 ),2025,FEB Was successfully downloaded
26:05:2025-19:01:14 - INFO - LOG: Uttar Pradesh,BAREILLY - UP25( 13-FEB-2018 ),2025,MAR Was successfully downloaded
26:05:2025-19:01:27 - INFO - LOG: Karnataka,CHIKKODI  RTO - KA23( 22-SEP-2018 ), No Records Found for year 2025
26:05:2025-19:01:27 - INFO - LOG: Uttar Pradesh,BAREILLY - UP25( 13-FEB-2018 ),2025,APR Was successfully downloaded
26:05:2025-19:01:34 - INFO - LOG: Karnataka,CHIKKODI  RTO - KA23( 22-SEP-2018 ), No Records Found for year 2025
26:05:2025-19:01:41 - INFO - LOG: Uttar Pradesh,BAREILLY - UP25( 13-FEB-2018 ),2025,MAY Was successfully downloaded
26:05:2025-19:01:44 - INFO - LOG: Karnataka,CHIKKODI  RTO - KA23( 22-SEP-2018 ),2025,MAR Was successfully downloaded
26:05:2025-19:01:55 - INFO - LOG: Karnataka,CHIKKODI  RTO - KA23( 22-SEP-2018 ), No Records Found for year 2025
26:05:2025-19:02:02 - INFO - LOG: Karnataka,CHIKKODI  RTO - KA23( 22-SEP-2018 ), No Records Found for year 2025
26:05:2025-19:02:11 - INFO - LOG: Uttar Pradesh,BASTI RTO - UP51( 13-DEC-2017 ),2025,JAN Was successfully downloaded
26:05:2025-19:02:19 - INFO - LOG: Karnataka,CHINTAMANI ARTO - KA67( 16-JUL-2018 ), No Records Found for year 2025
26:05:2025-19:02:25 - INFO - LOG: Uttar Pradesh,BASTI RTO - UP51( 13-DEC-2017 ),2025,FEB Was successfully downloaded
26:05:2025-19:02:38 - INFO - LOG: Uttar Pradesh,BASTI RTO - UP51( 13-DEC-2017 ),2025,MAR Was successfully downloaded
26:05:2025-19:02:45 - INFO - LOG: Karnataka,CHITRADURGA  RTO - KA16( 09-AUG-2018 ),2025,JAN Was successfully downloaded
26:05:2025-19:02:52 - INFO - LOG: Uttar Pradesh,BASTI RTO - UP51( 13-DEC-2017 ),2025,APR Was successfully downloaded
26:05:2025-19:02:59 - INFO - LOG: Karnataka,CHITRADURGA  RTO - KA16( 09-AUG-2018 ),2025,FEB Was successfully downloaded
26:05:2025-19:03:05 - INFO - LOG: Uttar Pradesh,BASTI RTO - UP51( 13-DEC-2017 ),2025,MAY Was successfully downloaded
26:05:2025-19:03:09 - INFO - LOG: Karnataka,CHITRADURGA  RTO - KA16( 09-AUG-2018 ), No Records Found for year 2025
26:05:2025-19:03:20 - INFO - LOG: Karnataka,CHITRADURGA  RTO - KA16( 09-AUG-2018 ),2025,APR Was successfully downloaded
26:05:2025-19:03:33 - INFO - LOG: Karnataka,CHITRADURGA  RTO - KA16( 09-AUG-2018 ),2025,MAY Was successfully downloaded
26:05:2025-19:03:36 - INFO - LOG: Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66( 25-OCT-2017 ),2025,JAN Was successfully downloaded
26:05:2025-19:03:49 - INFO - LOG: Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66( 25-OCT-2017 ),2025,FEB Was successfully downloaded
26:05:2025-19:04:00 - INFO - LOG: Karnataka,DANDELI ARTO - KA65( 28-SEP-2018 ), No Records Found for year 2025
26:05:2025-19:04:03 - INFO - LOG: Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66( 25-OCT-2017 ),2025,MAR Was successfully downloaded
26:05:2025-19:04:07 - INFO - LOG: Karnataka,DANDELI ARTO - KA65( 28-SEP-2018 ), No Records Found for year 2025
26:05:2025-19:04:16 - INFO - LOG: Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66( 25-OCT-2017 ),2025,APR Was successfully downloaded
26:05:2025-19:04:18 - INFO - LOG: Karnataka,DANDELI ARTO - KA65( 28-SEP-2018 ),2025,MAR Was successfully downloaded
26:05:2025-19:04:28 - INFO - LOG: Karnataka,DANDELI ARTO - KA65( 28-SEP-2018 ), No Records Found for year 2025
26:05:2025-19:04:31 - INFO - LOG: Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66( 25-OCT-2017 ),2025,MAY Was successfully downloaded
